dataset,model,scenario,accuracy,precision,recall,f1
SKAB,CNN,unseen,0.678235966636094,0.6368992092814347,0.1387709864820003,0.2154982008059701
SKAB,GRU,unseen,0.6758268974907798,0.5921525679616361,0.1224640355988282,0.1874571765396148
SKAB,LSTM,unseen,0.6735082068021255,0.6675221394186911,0.0926980251336191,0.1493493416883156
SKAB,Automata,unseen,1.0,1.0,1.0,1.0
