experiment_type,alphabet_size,dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,state_count_mean,transition_count_mean,transition_density_mean
alphabet_size_analysis,3,BATADAL_dataset04,0.7800480769230769,,0.04672897196261682,,0.05813953488372093,,0.05181347150259067,,71.0,165.0,0.03273160087284269
alphabet_size_analysis,3,SKAB,0.6001910750497765,0.032240456311913794,0.27604335507931227,0.0642109321522334,0.10430684169364293,0.10841371198754274,0.13684467719864377,0.10519805217600467,71.2,161.0,0.03174254248078064
alphabet_size_analysis,4,BATADAL_dataset04,0.7848557692307693,,0.16058394160583941,,0.2558139534883721,,0.19730941704035873,,169.0,397.0,0.013900073526837295
alphabet_size_analysis,4,SKAB,0.6148762131310395,0.03221295043501222,0.3344194980401273,0.14716506328001527,0.09746829831756401,0.05360689952337986,0.14762937255677328,0.07515746289263671,130.6,343.8,0.0204180842076501
alphabet_size_analysis,5,BATADAL_dataset04,0.734375,,0.10982658959537572,,0.22093023255813954,,0.14671814671814673,,334.0,763.0,0.006839614184804044
alphabet_size_analysis,5,SKAB,0.6133612310817751,0.03632609813936388,0.34290180038327067,0.14828122510920289,0.11634451045759557,0.06649625139739021,0.17002424563118027,0.09031802266072096,275.2,803.2,0.010639683582831313
alphabet_size_analysis,6,BATADAL_dataset04,0.6225961538461539,,0.08992805755395683,,0.29069767441860467,,0.13736263736263737,,522.0,1073.0,0.0039378458918688805
alphabet_size_analysis,6,SKAB,0.6001081538667433,0.03308701618075253,0.29868116472805284,0.13041530577541444,0.11004762698124755,0.06071170554288868,0.1568651880937702,0.08088998382955719,474.4,1467.8,0.006522331711733544
