experiment_type,window_size,dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,state_count_mean,transition_count_mean,transition_density_mean
window_size_analysis,3,BATADAL_dataset04,0.7983193277310925,,0.0625,,0.07142857142857142,,0.06666666666666667,,26.0,71.0,0.10502958579881656
window_size_analysis,3,SKAB,0.6080253485877286,0.021930229157000092,0.2873003409499661,0.056578970232870854,0.08466390686607295,0.05742765409742022,0.12532271321793836,0.0652211430456025,27.0,71.2,0.09766803840877915
window_size_analysis,4,BATADAL_dataset04,0.7800480769230769,,0.04672897196261682,,0.05813953488372093,,0.05181347150259067,,71.0,165.0,0.03273160087284269
window_size_analysis,4,SKAB,0.6001910750497765,0.032240456311913794,0.27604335507931227,0.0642109321522334,0.10430684169364293,0.10841371198754274,0.13684467719864377,0.10519805217600467,71.2,161.0,0.03174254248078064
window_size_analysis,5,BATADAL_dataset04,0.7713598074608905,,0.08870967741935484,,0.125,,0.10377358490566038,,165.0,312.0,0.011460055096418733
window_size_analysis,5,SKAB,0.593659165365137,0.04659833724304937,0.26338859068769843,0.0516663199330395,0.10587302671953383,0.12647967353322137,0.13015713883086794,0.11461900923950188,161.0,330.4,0.012759788213342454
window_size_analysis,6,BATADAL_dataset04,0.744578313253012,,0.09868421052631579,,0.16666666666666666,,0.12396694214876033,,312.0,507.0,0.005208333333333333
window_size_analysis,6,SKAB,0.5881867786356846,0.05423052275427237,0.2460479191802028,0.0684968382413826,0.11195213289697374,0.14736821638742886,0.1292035748799416,0.12847887724872167,330.4,615.0,0.005640584256543403
