model,source_dataset,target_dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
CNN,BATADAL_dataset04,SKAB,0.651750965324484,0.009254007820231282,0.0,0.0,0.0,0.0,0.0,0.0
CNN,SKAB,BATADAL_dataset04,0.7370813397129187,0.03769745904005344,0.13998583027206782,0.009032536402516313,0.33499999999999996,0.05687156583038666,0.19549022276232927,0.005991511043775089
GRU,BATADAL_dataset04,SKAB,0.651750965324484,0.009254007820231282,0.0,0.0,0.0,0.0,0.0,0.0
GRU,SKAB,BATADAL_dataset04,0.7023923444976077,0.020165349773097155,0.1368635255092973,0.002925173163319557,0.3975,0.03791437722025773,0.20332439515208084,0.006486086621150577
LSTM,BATADAL_dataset04,SKAB,0.651750965324484,0.009254007820231282,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,SKAB,BATADAL_dataset04,0.750956937799043,0.05065334003916461,0.14966090018144929,0.015280824783475346,0.3325,0.0670820393249937,0.2035895249416196,0.012794281127422853
