source_dataset,target_dataset,fold,window_size,alphabet_size,accuracy,precision,recall,f1,state_count,transition_count,transition_density,train_pattern_count,test_pattern_count,probability_threshold,unseen_transition_count,low_probability_count,average_transition_probability
SKAB,BATADAL_dataset04,-,4,3,0.5192307692307693,0.10353535353535354,0.47674418604651164,0.17012448132780084,77,197,0.033226513745994266,89893,833,0.30584192439862545,74,396,0.44134501908894985
BATADAL_dataset04,SKAB,1,4,3,0.6599378881987578,0.5282555282555282,0.13817480719794345,0.21905247070809986,71,165,0.03273160087284269,2503,4509,0.08247422680412371,0,407,0.34726872045900603
BATADAL_dataset04,SKAB,2,4,3,0.5437736689685899,0.2761394101876676,0.1997414350355527,0.231807951987997,71,165,0.03273160087284269,2503,4490,0.08247422680412371,0,1119,0.2856646804139455
BATADAL_dataset04,SKAB,3,4,3,0.5866755793226381,0.3570110701107011,0.2504854368932039,0.29440852034994297,71,165,0.03273160087284269,2503,4489,0.08247422680412371,0,1084,0.28243425323782706
BATADAL_dataset04,SKAB,4,4,3,0.5469525959367946,0.2857142857142857,0.1623296158612144,0.2070327933623074,71,165,0.03273160087284269,2503,4431,0.08247422680412371,0,917,0.2865067064516434
BATADAL_dataset04,SKAB,5,4,3,0.6144525225820665,0.3606194690265487,0.10036945812807882,0.15703275529865124,71,165,0.03273160087284269,2503,4540,0.08247422680412371,0,452,0.286438517928737
