source_dataset,target_dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,state_count_mean,transition_count_mean,transition_density_mean,unseen_transition_count_mean,low_probability_count_mean
BATADAL_dataset04,SKAB,0.5903584510017694,0.04870727892412876,0.36154795265894624,0.10106708825792922,0.17022015062319867,0.05762444409597677,0.2218668983413997,0.04947865511702061,71.0,165.0,0.03273160087284269,0.0,795.8
SKAB,BATADAL_dataset04,0.5192307692307693,,0.10353535353535354,,0.47674418604651164,,0.17012448132780084,,77.0,197.0,0.033226513745994266,74.0,396.0
