dataset,fold,model,accuracy,precision,recall,f1,scenario,window_size,smoothing_alpha,threshold_quantile,probability_threshold,train_pattern_count,test_pattern_count,normal_pattern_count,anomaly_pattern_count,unseen_transition_count,low_probability_count,average_transition_probability
SKAB,1,Automata,0.5929458740017747,0.30864197530864196,0.14460154241645246,0.19693654266958424,noisy,4,1.0,0.1,0.14814814814814814,34,4509,2953,1556,6,729,0.543668414297298
SKAB,2,Automata,0.5061260859879706,0.23496835443037975,0.19198448610213317,0.2113127001067236,noisy,4,1.0,0.1,0.16129032258064516,34,4490,2943,1547,488,1261,0.4631610745379545
SKAB,3,Automata,0.5120320855614974,0.2684852835606604,0.24207119741100325,0.2545949625595643,noisy,4,1.0,0.1,0.15873015873015872,33,4489,2944,1545,473,1386,0.4756637553611851
SKAB,4,Automata,0.5038374717832957,0.18191721132897604,0.10346964064436183,0.13191153238546605,noisy,4,1.0,0.1,0.15789473684210525,34,4431,2817,1614,246,917,0.5422884113128466
SKAB,5,Automata,0.4633179114342366,0.3291245791245791,0.4815270935960591,0.391,noisy,4,1.0,0.1,0.15714285714285714,35,4540,2916,1624,1126,2370,0.29234525986514
