dataset,fold,model,accuracy,precision,recall,f1,scenario,window_size,smoothing_alpha,threshold_quantile,probability_threshold,train_pattern_count,test_pattern_count,normal_pattern_count,anomaly_pattern_count,unseen_transition_count,low_probability_count,average_transition_probability
SKAB,1,Automata,0.5906040268456376,0.22727272727272727,0.029239766081871343,0.05181347150259067,normal,4,1.0,0.1,0.14814814814814814,34,448,277,171,0,22,0.7781401995548995
SKAB,2,Automata,0.5797752808988764,0.3392857142857143,0.11242603550295859,0.1688888888888889,normal,4,1.0,0.1,0.16129032258064516,34,446,277,169,2,56,0.6550916005707879
SKAB,3,Automata,0.5955056179775281,0.3958333333333333,0.11176470588235295,0.1743119266055046,normal,4,1.0,0.1,0.15873015873015872,33,446,276,170,0,48,0.6933086676774044
SKAB,4,Automata,0.5626423690205011,0.23333333333333334,0.03977272727272727,0.06796116504854369,normal,4,1.0,0.1,0.15789473684210525,34,440,264,176,2,30,0.7211005931472808
SKAB,5,Automata,0.5066666666666667,0.3443708609271523,0.29714285714285715,0.31901840490797545,normal,4,1.0,0.1,0.15714285714285714,35,451,276,175,2,151,0.5372111871177847
