dataset,fold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,state_count_mean,transition_count_mean,transition_density_mean
SKAB,1,0.6328748890860693,0.0,0.34579439252336447,0.0,0.07133676092544987,0.0,0.11827384123601492,0.0,72.0,168.0,0.032407407407407406
SKAB,2,0.6123858320338605,0.0,0.21194029850746268,0.0,0.04589528118939883,0.0,0.07545164718384698,0.0,73.0,167.0,0.03133796209420154
SKAB,3,0.5969251336898396,0.0,0.24117647058823527,0.0,0.07961165048543689,0.0,0.11970802919708028,0.0,69.0,150.0,0.0315059861373661
SKAB,4,0.6115124153498871,0.0,0.23645320197044334,0.0,0.029739776951672858,0.0,0.05283434232250963,0.0,72.0,165.0,0.031828703703703706
SKAB,5,0.5472571050892266,0.0,0.34485241180705545,0.0,0.29495073891625617,0.0,0.31795552605376703,0.0,70.0,155.0,0.03163265306122449
