dataset,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,state_count_mean,transition_count_mean,transition_density_mean
BATADAL_dataset04,0.7800480769230769,0.0,0.04672897196261682,0.0,0.058139534883720936,0.0,0.05181347150259067,0.0,71.0,165.0,0.03273160087284269
SKAB,0.6001910750497766,0.029431375310491642,0.27604335507931227,0.05861629329701997,0.10430684169364293,0.09896772599740901,0.13684467719864377,0.09603224363733864,71.2,161.0,0.03174254248078065
