dataset,metric,mean,std
BATADAL_dataset04,accuracy,0.7800480769230769,0.0
BATADAL_dataset04,precision,0.04672897196261682,0.0
BATADAL_dataset04,recall,0.058139534883720936,7.757919228897728e-18
BATADAL_dataset04,f1,0.05181347150259067,0.0
