seed,experiment_type,dataset,fold,window_size,alphabet_size,accuracy,precision,recall,f1,state_count,transition_count,transition_density,train_pattern_count,test_pattern_count,probability_threshold,unseen_transition_count,low_probability_count,average_transition_probability
42,seed_analysis,SKAB,1,4,3,0.6328748890860693,0.34579439252336447,0.07133676092544987,0.11827384123601492,72,168,0.032407407407407406,17959,4509,0.22149122807017543,4,321,0.7146347567126888
42,seed_analysis,SKAB,2,4,3,0.6123858320338605,0.21194029850746268,0.04589528118939883,0.07545164718384698,73,167,0.03133796209420154,17978,4490,0.2268041237113402,2,335,0.6900992652210252
42,seed_analysis,SKAB,3,4,3,0.5969251336898396,0.2411764705882353,0.07961165048543689,0.11970802919708029,69,150,0.0315059861373661,17979,4489,0.2482758620689655,5,510,0.631568135949841
42,seed_analysis,SKAB,4,4,3,0.6115124153498871,0.23645320197044334,0.02973977695167286,0.05283434232250963,72,165,0.031828703703703706,18037,4431,0.2283464566929134,0,203,0.7062614270339597
42,seed_analysis,SKAB,5,4,3,0.5472571050892266,0.34485241180705545,0.29495073891625617,0.31795552605376703,70,155,0.03163265306122449,17928,4540,0.21929824561403508,0,1389,0.440742696318359
42,seed_analysis,BATADAL_dataset04,-,4,3,0.7800480769230769,0.04672897196261682,0.05813953488372093,0.05181347150259067,71,165,0.03273160087284269,2503,833,0.08247422680412371,4,107,0.28823852210874323
123,seed_analysis,SKAB,1,4,3,0.6328748890860693,0.34579439252336447,0.07133676092544987,0.11827384123601492,72,168,0.032407407407407406,17959,4509,0.22149122807017543,4,321,0.7146347567126888
123,seed_analysis,SKAB,2,4,3,0.6123858320338605,0.21194029850746268,0.04589528118939883,0.07545164718384698,73,167,0.03133796209420154,17978,4490,0.2268041237113402,2,335,0.6900992652210252
123,seed_analysis,SKAB,3,4,3,0.5969251336898396,0.2411764705882353,0.07961165048543689,0.11970802919708029,69,150,0.0315059861373661,17979,4489,0.2482758620689655,5,510,0.631568135949841
123,seed_analysis,SKAB,4,4,3,0.6115124153498871,0.23645320197044334,0.02973977695167286,0.05283434232250963,72,165,0.031828703703703706,18037,4431,0.2283464566929134,0,203,0.7062614270339597
123,seed_analysis,SKAB,5,4,3,0.5472571050892266,0.34485241180705545,0.29495073891625617,0.31795552605376703,70,155,0.03163265306122449,17928,4540,0.21929824561403508,0,1389,0.440742696318359
123,seed_analysis,BATADAL_dataset04,-,4,3,0.7800480769230769,0.04672897196261682,0.05813953488372093,0.05181347150259067,71,165,0.03273160087284269,2503,833,0.08247422680412371,4,107,0.28823852210874323
2026,seed_analysis,SKAB,1,4,3,0.6328748890860693,0.34579439252336447,0.07133676092544987,0.11827384123601492,72,168,0.032407407407407406,17959,4509,0.22149122807017543,4,321,0.7146347567126888
2026,seed_analysis,SKAB,2,4,3,0.6123858320338605,0.21194029850746268,0.04589528118939883,0.07545164718384698,73,167,0.03133796209420154,17978,4490,0.2268041237113402,2,335,0.6900992652210252
